organisation id,name,website,country,founded,category,number of employees,median Salary,profits in 2020(million),profits in 2021(million)
f1d537929fa45ad,mcconnell-schroeder,https://kirby-weber.info/,ecuador,2009,insurance,4884,4646,6450367,8666893
f0a58aa2db37dda,gutierrez vasquez and austin,https://www.hurley-huynh.com/,ecuador,2009,insurance,5052,4685,8072727,5257831
23a677cecd2bcac,martinez-boone,https://mckee.com/,ecuador,2004,insurance,6346,3274,250703,3734589
0b19f0056c68e6f,holland group,https://oliver-figueroa.com/,ecuador,1979,insurance,7664,3245,6573943,1399452
bc6adfff45c6bdd,mclaughlin llc,http://coleman.com/,ecuador,1975,insurance,5650,4074,6952990,7234973
4eb2ba5bdadcabb,snyder group,http://www.harper.org/,ecuador,1998,insurance,1363,3082,8858553,1453244
139ab569bdfce4f,elliott hood and estrada,https://www.harmon-bowers.com/,ecuador,2014,insurance,3493,4820,2584643,4202651
eaf5ae0fcbcb4dd,macdonald plc,http://www.huffman.com/,ecuador,1975,insurance,6603,4042,7928324,1739312
a483cd7f7b486b4,davis-mclean,http://www.cherry.info/,ecuador,1995,insurance,3427,4589,4139000,11562047
e898490f4b5ccbb,fields-townsend,https://fields-hensley.com/,ecuador,1994,insurance,4635,2510,4119291,11417784
47344a0d7ded6a5,byrd inc,https://massey-holder.com/,kenya,2016,insurance,3182,2748,2031707,3203072
ce8feac6b8c8e44,simpson macdonald and key,http://www.george.net/,kenya,1998,insurance,3289,2289,8913489,1303623
0aa03de0f49f09d,calhoun and sons,http://www.young.com/,kenya,1999,textiles,5723,3627,1430971,1960366
e86e20273da5da7,dixon ltd,http://soto.com/,kenya,2018,textiles,1397,2120,5805099,2553964
73fac61efec51cd,bass mcintosh and harrison,http://lucero-bruce.com/,kenya,1983,textiles,2712,3134,8831323,6299703
eec9cebd4cdfd4e,lam group,http://koch.org/,kenya,2006,textiles,2760,2853,5076164,7689670
95e2fc82ca04a9b,escobar gilmore and mahoney,http://www.carey.com/,kenya,1988,textiles,5975,4694,5389313,574143
a4fecc8bb7aff7b,fritz ltd,http://padilla-morales.net/,kenya,1975,textiles,7020,3323,3320507,5059006
41ef2a0f35c4fa7,porter schaefer and fields,http://colon.net/,kenya,2005,textiles,6742,4663,4183530,8420396
4daeeda7cbc40a1,serrano moses and ho,https://serrano.info/,kenya,1974,textiles,5247,4277,3356466,9397300
2dc933bd78efeca,schroeder llc,https://case-jacobson.org/,kenya,1979,textiles,1185,2682,747224,671239
effe2cb0aacfdfb,morris villegas and english,http://www.stephenson.com/,kenya,2021,textiles,9089,2619,4766495,11671960
cdfbabdd3ae5ca1,mills-clements,https://newton.com/,kenya,1988,textiles,8674,2524,6585996,8576501
52bc0070051fbf9,potter-solis,http://riley.biz/,kenya,1993,textiles,4209,3490,7603084,2901475
c82cee1027a60e8,powell group,https://mcclain.com/,kenya,2013,textiles,5802,4158,4136914,7475422
9abeb8aafd25e04,houston and sons,http://mcgee.com/,kenya,1981,textiles,5355,2580,3157122,1649225
